Fecha,Hora,Jornada,Equipo,Especie,Tratamiento,Micrositio,Orientación,Semillas/Hoyo,Protector,Sustrato,Lat,Lng,Golpes,Notas,Foto URL
11/1/2026,12:08:24,yZYBxzB3lUypdMyzinMh,Olivier,Algarrobo,,Alcorque,Norte,1,Sí,Sí,,,1,"Algarrobo, Tetraclinis y 3 de bolina",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768129702892_T9qqP8PeJiTExOBbi0UVPQse5Dn2_77pht1ya2_1768129702893.jpg?alt=media&token=3dfb7fc5-f7b3-451a-b053-fa9dbc5c7730
11/1/2026,12:06:46,yZYBxzB3lUypdMyzinMh,Olivier,Algarrobo,,Alcorque,Norte,1,No,No,,,1,"Algarrobo, tetraclinis, 3 bolina.
En alcorque pero sin nodriza ni protector ",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768129604261_T9qqP8PeJiTExOBbi0UVPQse5Dn2_8owfg9mwn_1768129604261.jpg?alt=media&token=06e6471a-1f7f-4944-80c5-ce0692690e1a
11/1/2026,12:03:25,yZYBxzB3lUypdMyzinMh,Rubén,Algarrobo,,Alcorque,Este,1,Sí,Sí,38.2837789,-0.7598635,1,"26130 lentisco",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768129401773_mWnMQQhza2R28shbKgB1soANvGW2_aipn25lpt_1768129401773.jpg?alt=media&token=d81a8bf0-cb1d-4f3f-a3a9-e35b4de183a7
11/1/2026,12:02:19,yZYBxzB3lUypdMyzinMh,Rubén,Tetraclinis,,Alcorque,Este,1,Sí,Sí,38.2837686,-0.7598744,1,"26130 lentisco",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768129334115_mWnMQQhza2R28shbKgB1soANvGW2_i8di29a1h_1768129334115.jpg?alt=media&token=2fab0e89-407c-4fa5-bdbc-9b8159787663
11/1/2026,12:01:42,yZYBxzB3lUypdMyzinMh,Rubén,Bolina,,Alcorque,Este,3,Sí,Sí,38.2837835,-0.7597889,1,"26130 lentisco",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768129299419_mWnMQQhza2R28shbKgB1soANvGW2_gyinu2ado_1768129299419.jpg?alt=media&token=3ed888d2-a019-4be8-bc0a-7936167da7d7
11/1/2026,11:52:56,yZYBxzB3lUypdMyzinMh,Rubén,Algarrobo,,Alcorque,Este,1,Sí,Sí,38.2837766,-0.760088,1,"26122 tetraclinis",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768128774088_mWnMQQhza2R28shbKgB1soANvGW2_lsv0tqkcs_1768128774088.jpg?alt=media&token=84456fa3-6ef7-4f64-afe7-94f156f0a0cd
11/1/2026,11:52:32,yZYBxzB3lUypdMyzinMh,Rubén,Tetraclinis,,Alcorque,Este,1,Sí,Sí,38.283759,-0.7600118,1,"26122 tetraclinis",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768128749586_mWnMQQhza2R28shbKgB1soANvGW2_geda562eb_1768128749586.jpg?alt=media&token=50dd176f-f8ce-4553-9b33-e1e01d0df05b
11/1/2026,11:51:48,yZYBxzB3lUypdMyzinMh,Rubén,Bolina,,Alcorque,Este,3,Sí,Sí,38.2837426,-0.7599433,1,"26122 tetraclinis",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768128704861_mWnMQQhza2R28shbKgB1soANvGW2_9kmuguvgz_1768128704861.jpg?alt=media&token=9ca209a4-fb2c-414f-ac1a-462428680f17
11/1/2026,11:51:14,yZYBxzB3lUypdMyzinMh,Olivier,Algarrobo,,Alcorque,Norte,1,Sí,Sí,,,1,"1 algarrobo, 1 tetraclinis, 3 bolinas
Plantón lentisco",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768128672897_T9qqP8PeJiTExOBbi0UVPQse5Dn2_umwey0p65_1768128672897.jpg?alt=media&token=5b66c41a-cd73-41ca-ad46-931385aea435
11/1/2026,11:49:26,yZYBxzB3lUypdMyzinMh,Olivier,Algarrobo,,Alcorque,Norte,1,Sí,Sí,,,1,"1 algarrobo, 1 tetraclinis, 3 bolinas
Plantón lentisco",https://firebasestorage.googleapis.com/v0/b/arba-elx-siembra.firebasestorage.app/o/photos%2Flogs%2F1768128564771_T9qqP8PeJiTExOBbi0UVPQse5Dn2_7ewnj4mhv_1768128564771.jpg?alt=media&token=856e215f-e220-45bb-8d49-c41626ee88b2
